element,expect_bn,result_bn
QLA3RP,Q583,Q583new
QLA3RP,Q576,Q576new
QLA2RP,Q583,Q583new
QLA2RP,Q576,Q576new
QLX1RP.1,Q583,Q583new
QLX1RP.1,Q576,Q576new
QLX2RP,Q583,Q583new
QLX2RP,Q576,Q576new
QLA3LP,Q583,Q583new
QLA3LP,Q576,Q576new
QLA2LP,Q583,Q583new
QLA2LP,Q576,Q576new
QLX1LP.2,Q583,Q583new
QLX1LP.2,Q576,Q576new
QLX2LP,Q583,Q583new
QLX2LP,Q576,Q576new
QLB3LP,Q583,Q583new
QLB3LP,Q576,Q576new
QLX1LP.1,Q583,Q583new
QLX1LP.1,Q576,Q576new
QLX1RP.2,Q583,Q583new
QLX1RP.2,Q576,Q576new
QLB3RP,Q583,Q583new
QLB3RP,Q576,Q576new
FZVALP,Q344,QKnew
BC1RP,B344,B344
BC1RP,B281,B281
BC1LP,B344,B344
BC1LP,B281,B281
BLC1LP1,B1590,B1590
BLC1LP1,B1603,B1603
BLC1LP2,B2230,B2230new
BLC1LP2,B2235,B2235new
BLCWRP,B2230,B2230new
BLCWRP,B2235,B2235new
BLC1RP,B2230,B2230new
BLC1RP,B2235,B2235new
BLA1LP,B3989,B3989
BLA1LP,B3961,B3961
BP1NRP.2,B892,B892R
BSWFRP,B893,B893R
BLA6RP.1,B3989,B3989R
BLA6RP.1,B3961,B3961R
BLA6RP.2,B3989,B3989R
BLA6RP.2,B3961,B3961R
BLA2RP,B893,B893R
BLB3LP,B893,B893R
BLB2RP,B2230,B2230R
BLX2RP.1,B2230,B2230R
BLX2LP.1,B2230,B2230R
BLX4RP.1,B3989,B3989R
BLX4RP.1,B3961,B3961R
BLX4RP.2,B3989,B3989R
BLX4RP.2,B3961,B3961R
BLX2RP.2,B2230,B2230R
BLX2LP.2,B2230,B2230R
BLX4LP.2,B4189,B4189R
BLX4LP.2,B4159,B4159R
BLY5LP.1,B4189,B4189R
BLY5LP.1,B4159,B4159R
BLY5LP.2,B4189,B4189R
BLY5LP.2,B4159,B4159R
BLY5RP.1,B4189,B4189R
BLY5RP.1,B4159,B4159R
BLY5RP.2,B4189,B4189R
BLY5RP.2,B4159,B4159R
BLY3LP.1,B2230,B2230R
BLY3RP.1,B2230,B2230R
BLY3LP.2,B2230,B2230R
BLY3RP.2,B2230,B2230R
